ident,web,state,trec3,noman2,protect2,restore2,wnoman2,wprotect2,wrestore2,women,spend2,polview2,seeind2,nepind2,gccind2
338,1,3,2,2,4,4,2,4,4,0,.5,5,1.5,3.4444444,4
339,1,2,5,3,4,4,2,4,4,0,1,2,2.5,2.8888888,2
340,1,2,5,4,2,1,4,2,2,0,0,4,3,2.5555556,2.5
341,1,3,5,1,5,5,1,5,5,1,1,4,3,3.4444444,4
342,1,1,5,4,3,4,3,3,2,0,.5,5,2.5,2.7777777,2
343,1,3,5,2,4,3,3,3,2,1,1,5,3,4.3333335,5
344,1,1,5,2,5,5,2,4,5,0,1,4,3,4.1111112,5
345,1,2,3,2,5,5,3,4,4,0,1,6,2,4.2222223,5
346,1,3,5,3,3,4,3,3,3,0,.5,2,,3.2222223,3.5
347,1,3,5,1,5,5,1,1,1,0,1,3,3,,2
348,1,1,2,2,3,5,2,3,5,0,1,5,1.5,4,5
349,1,1,3,3,4,3,2,4,4,0,0,1,3,3.2222223,1.5
350,1,1,5,4,3,3,4,2,3,0,.5,4,2.5,3.8888888,3.5
351,1,1,5,2,4,5,2,4,5,0,1,3,3,3.3333333,2
352,1,3,3,2,5,5,2,5,5,0,1,4,2.5,2.4444444,4
353,1,1,5,,5,4,,5,3,0,.5,6,3,4.6666665,5
354,1,3,5,2,4,5,4,4,5,0,.5,2,2.5,2.2222223,1.5
355,1,3,3,4,4,3,4,4,3,0,.5,2,0,2.7777777,1
356,1,3,5,3,5,5,3,4,5,,1,4,3,3,3
357,1,3,5,1,5,5,1,5,5,0,1,5,2.5,4,5
358,1,1,5,3,5,5,5,3,4,1,1,4,2.5,4.5555553,5
359,1,1,5,2,4,4,,4,4,0,.5,2,2.5,3.7777777,4
360,1,3,5,4,4,4,4,4,4,0,.5,2,1.5,3.1111112,1.5
361,1,1,5,2,5,5,2,5,5,0,1,2,3,4.7777777,5
362,1,2,5,,4,4,3,3,3,0,1,7,2,4.8888888,5
363,1,3,5,2,4,4,2,4,4,0,.5,5,2.5,4,5
364,1,3,1,1,4,4,2,4,4,1,1,7,1.5,4.4444447,5
365,1,3,5,1,5,5,5,5,5,0,1,3,3,4.6666665,4.5
