Year,Season,Active_Holes,Total_Holes,Sett Type,Trial_Code,Sett_ID_Code
1,Summer,0,1,Outlier,Area3,Area3 Sett95
2,Spring,2,3,Outlier,Area3,Area3 Sett95
3,Spring,0,1,Outlier,Area3,Area3 Sett95
4,Spring,0,1,Outlier,Area3,Area3 Sett95
1,Summer,1,1,Outlier,Area3,Area3 Sett96
3,Spring,0,1,Outlier,Area3,Area3 Sett96
4,Spring,0,1,Outlier,Area3,Area3 Sett96
3,Spring,1,1,Outlier,Area3,Area3 Sett97
4,Spring,0,1,Outlier,Area3,Area3 Sett98
4,Spring,0,1,Outlier,Area3,Area3 Sett99
2,Spring,1,1,Outlier,Area3,Area3 Sett100
1,Summer,1,4,Outlier,Area3,Area3 Sett101
3,Spring,2,3,Outlier,Area3,Area3 Sett101
4,Spring,0,3,Outlier,Area3,Area3 Sett101
1,Summer,1,1,Outlier,Area3,Area3 Sett102
3,Spring,0,1,Outlier,Area3,Area3 Sett102
4,Spring,0,1,Outlier,Area3,Area3 Sett102
1,Summer,0,1,Outlier,Area3,Area3 Sett103
2,Spring,2,3,Outlier,Area3,Area3 Sett103
4,Spring,1,1,Outlier,Area3,Area3 Sett104
3,Autumn,0,1,Outlier,Area3,Area3 Sett105
4,Spring,0,1,Outlier,Area3,Area3 Sett105
2,Spring,0,5,Outlier,Area3,Area3 Sett106
3,Autumn,0,5,Outlier,Area3,Area3 Sett106
4,Spring,1,2,Outlier,Area3,Area3 Sett106
5,Autumn,0,1,Outlier,Area3,Area3 Sett106
1,Summer,0,4,Outlier,Area3,Area3 Sett107
2,Spring,0,4,Outlier,Area3,Area3 Sett107
3,Spring,0,2,Outlier,Area3,Area3 Sett107
4,Spring,0,2,Outlier,Area3,Area3 Sett107
5,Autumn,0,2,Outlier,Area3,Area3 Sett107
1,Summer,8,18,Main,Area3,Area3 Sett108
2,Spring,4,12,Outlier,Area3,Area3 Sett108
3,Spring,2,10,Main,Area3,Area3 Sett108
4,Spring,3,14,Main,Area3,Area3 Sett108
5,Autumn,0,14,Outlier,Area3,Area3 Sett108
1,Summer,1,3,Outlier,Area3,Area3 Sett109
3,Spring,0,2,Outlier,Area3,Area3 Sett109
4,Spring,1,3,Outlier,Area3,Area3 Sett109
5,Autumn,0,3,Outlier,Area3,Area3 Sett109
1,Summer,0,1,Outlier,Area3,Area3 Sett110
4,Spring,0,2,Outlier,Area3,Area3 Sett111
4,Spring,0,2,Outlier,Area3,Area3 Sett111
5,Autumn,0,2,Outlier,Area3,Area3 Sett111
4,Spring,0,2,Outlier,Area3,Area3 Sett112
4,Spring,0,2,Outlier,Area3,Area3 Sett112
5,Autumn,0,2,Outlier,Area3,Area3 Sett112
4,Winter,0,2,Outlier,Area3,Area3 Sett113
1,Summer,1,5,Outlier,Area3,Area3 Sett114
2,Spring,0,4,Outlier,Area3,Area3 Sett114
3,Spring,0,4,Outlier,Area3,Area3 Sett114
1,Summer,0,2,Outlier,Area3,Area3 Sett115
2,Spring,0,1,Outlier,Area3,Area3 Sett115
3,Spring,0,1,Outlier,Area3,Area3 Sett115
2,Spring,0,1,Outlier,Area3,Area3 Sett116
3,Spring,0,1,Outlier,Area3,Area3 Sett116
1,Summer,0,2,Outlier,Area3,Area3 Sett117
1,Summer,0,1,Outlier,Area3,Area3 Sett118
4,Spring,0,1,Outlier,Area3,Area3 Sett119
4,Spring,0,1,Outlier,Area3,Area3 Sett120
4,Spring,1,1,Outlier,Area3,Area3 Sett121
5,Autumn,5,9,Main,Area3,Area3 Sett122
5,Autumn,0,1,Outlier,Area3,Area3 Sett123
1,Summer,0,2,Outlier,Area3,Area3 Sett124
2,Spring,0,1,Outlier,Area3,Area3 Sett124
3,Autumn,0,1,Outlier,Area3,Area3 Sett124
1,Summer,4,16,Outlier,Area3,Area3 Sett125
2,Spring,11,23,Main,Area3,Area3 Sett125
3,Spring,2,16,Main,Area3,Area3 Sett125
3,Autumn,0,16,Outlier,Area3,Area3 Sett125
4,Spring,1,16,Outlier,Area3,Area3 Sett125
1,Summer,0,2,Outlier,Area3,Area3 Sett126
1,Summer,0,1,Outlier,Area3,Area3 Sett127
3,Spring,0,1,Outlier,Area3,Area3 Sett127
5,Autumn,0,1,Outlier,Area3,Area3 Sett127
1,Summer,0,1,Outlier,Area3,Area3 Sett128
3,Spring,0,1,Outlier,Area3,Area3 Sett128
1,Summer,1,4,Outlier,Area3,Area3 Sett129
3,Spring,0,4,Outlier,Area3,Area3 Sett129
4,Spring,0,4,Outlier,Area3,Area3 Sett129
5,Autumn,0,1,Outlier,Area3,Area3 Sett129
1,Summer,0,1,Outlier,Area3,Area3 Sett130
1,Summer,0,2,Outlier,Area3,Area3 Sett131
3,Spring,0,2,Outlier,Area3,Area3 Sett131
2,Spring,1,1,Outlier,Area3,Area3 Sett132
3,Spring,0,1,Outlier,Area3,Area3 Sett132
2,Spring,1,1,Outlier,Area3,Area3 Sett133
3,Spring,1,1,Outlier,Area3,Area3 Sett133
3,Spring,0,1,Outlier,Area3,Area3 Sett134
5,Autumn,0,1,Outlier,Area3,Area3 Sett134
1,Summer,0,1,Outlier,Area3,Area3 Sett135
2,Spring,0,1,Outlier,Area3,Area3 Sett135
3,Winter,0,1,Outlier,Area3,Area3 Sett135
3,Autumn,0,1,Outlier,Area3,Area3 Sett135
4,Spring,0,1,Outlier,Area3,Area3 Sett135
1,Summer,0,1,Outlier,Area3,Area3 Sett136
2,Spring,0,1,Outlier,Area3,Area3 Sett136
3,Spring,0,1,Outlier,Area3,Area3 Sett136
3,Autumn,0,30,Outlier,Area3,Area3 Sett136
1,Summer,1,2,Outlier,Area3,Area3 Sett137
2,Spring,0,2,Outlier,Area3,Area3 Sett137
3,Spring,1,2,Outlier,Area3,Area3 Sett137
3,Autumn,0,1,Outlier,Area3,Area3 Sett137
4,Spring,2,2,Outlier,Area3,Area3 Sett137
1,Summer,5,13,Main,Area3,Area3 Sett138
2,Spring,13,21,Main,Area3,Area3 Sett138
3,Spring,3,26,Main,Area3,Area3 Sett138
4,Spring,10,33,Main,Area3,Area3 Sett138
5,Autumn,4,16,Main,Area3,Area3 Sett138
1,Summer,2,4,Outlier,Area3,Area3 Sett139
2,Spring,1,2,Outlier,Area3,Area3 Sett139
3,Spring,0,2,Outlier,Area3,Area3 Sett139
1,Summer,0,1,Outlier,Area3,Area3 Sett140
2,Spring,0,1,Outlier,Area3,Area3 Sett140
3,Spring,0,1,Outlier,Area3,Area3 Sett140
4,Spring,0,2,Outlier,Area3,Area3 Sett140
1,Summer,0,1,Outlier,Area3,Area3 Sett141
4,Spring,0,1,Outlier,Area3,Area3 Sett141
4,Winter,0,1,Outlier,Area3,Area3 Sett142
5,Autumn,0,1,Outlier,Area3,Area3 Sett142
1,Summer,0,1,Outlier,Area3,Area3 Sett143
2,Spring,0,1,Outlier,Area3,Area3 Sett143
3,Spring,0,1,Outlier,Area3,Area3 Sett143
4,Spring,0,1,Outlier,Area3,Area3 Sett143
5,Autumn,0,1,Outlier,Area3,Area3 Sett143
1,Summer,0,1,Outlier,Area3,Area3 Sett144
2,Spring,0,1,Outlier,Area3,Area3 Sett144
3,Spring,0,1,Outlier,Area3,Area3 Sett144
1,Summer,0,2,Outlier,Area3,Area3 Sett145
2,Spring,0,2,Outlier,Area3,Area3 Sett145
3,Spring,0,2,Outlier,Area3,Area3 Sett145
5,Autumn,1,1,Outlier,Area3,Area3 Sett145
1,Summer,0,2,Outlier,Area3,Area3 Sett146
2,Spring,0,2,Outlier,Area3,Area3 Sett146
3,Spring,0,4,Outlier,Area3,Area3 Sett146
2,Spring,1,1,Outlier,Area3,Area3 Sett147
3,Spring,0,1,Outlier,Area3,Area3 Sett147
2,Spring,0,1,Outlier,Area3,Area3 Sett148
3,Spring,0,1,Outlier,Area3,Area3 Sett148
2,Spring,2,5,Outlier,Area3,Area3 Sett149
3,Spring,1,5,Outlier,Area3,Area3 Sett149
1,Winter,1,2,Outlier,Area3,Area3 Sett150
2,Spring,1,2,Outlier,Area3,Area3 Sett150
3,Spring,0,1,Outlier,Area3,Area3 Sett151
3,Spring,0,3,Main,Area3,Area3 Sett152
3,Autumn,2,5,Outlier,Area3,Area3 Sett153
3,Autumn,0,1,Outlier,Area3,Area3 Sett154
1,Summer,0,1,Outlier,Area3,Area3 Sett155
3,Winter,0,1,Outlier,Area3,Area3 Sett155
4,Spring,1,2,Outlier,Area3,Area3 Sett155
3,Winter,1,2,Outlier,Area3,Area3 Sett156
4,Spring,0,2,Outlier,Area3,Area3 Sett156
5,Autumn,0,1,Outlier,Area3,Area3 Sett157
5,Autumn,1,3,Outlier,Area3,Area3 Sett158
5,Autumn,1,7,Outlier,Area3,Area3 Sett159
1,Summer,1,4,Outlier,Area3,Area3 Sett160
2,Spring,1,3,Outlier,Area3,Area3 Sett160
3,Spring,0,4,Outlier,Area3,Area3 Sett160
3,Autumn,0,4,Outlier,Area3,Area3 Sett160
