#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio,Eff_Resist,CWDTORRatio,CF_Centrality
135.0,34.0,47.0,-1.0,-1.0,1.0,222.0,24923.6367188,1.0,1.0,273.0,112.268633868,91.2953725963,-1.0,-1.0,7558.221538
136.0,35.0,63.0,-1.0,-1.0,1.0,340.0,83386.328125,1.0,1.0,985.0,245.25390625,84.6561706853,-1.0,-1.0,43113.59321
137.0,35.0,81.0,-1.0,-1.0,1.0,218.0,38627.4179688,1.0,1.0,273.0,177.189990683,141.492373512,-1.0,-1.0,32989.79062
138.0,36.0,66.0,-1.0,-1.0,1.0,359.0,4354.40673828,1.0,1.0,564.0,12.1292666804,7.72057932319,-1.0,-1.0,18698.36174
139.0,36.0,79.0,-1.0,-1.0,-15.0,1226.0,113672.0625,1.0,0.0,1771.0,92.7178323817,64.185241389,-1.0,-1.0,-1.0
140.0,36.0,85.0,-1.0,-1.0,1.0,665.0,4908.96533203,1.0,1.0,1118.0,7.38190275493,4.39084555638,-1.0,-1.0,13176.04686
141.0,37.0,46.0,-1.0,-1.0,1.0,155.0,38256.78125,1.0,1.0,216.0,246.817943548,177.114728009,-1.0,-1.0,2288.788909
142.0,37.0,48.0,-1.0,-1.0,1.0,123.0,13010.0,1.0,1.0,140.0,105.772357724,92.9285714286,-1.0,-1.0,3333.293346
143.0,37.0,49.0,-1.0,-1.0,1.0,203.0,42742.0625,1.0,0.0,261.0,210.55203202,163.762691571,-1.0,-1.0,2761.724684
144.0,37.0,50.0,-1.0,-1.0,1.0,178.0,18398.9179688,1.0,1.0,197.0,103.36470769,93.3955226843,-1.0,-1.0,2851.573967
145.0,38.0,60.0,-1.0,-1.0,1.0,156.0,18142.1347656,1.0,1.0,181.0,116.295735677,100.23278876,-1.0,-1.0,5685.006929
146.0,38.0,101.0,-1.0,-1.0,-15.0,1939.0,80497.1953125,1.0,0.0,3345.0,41.5147990266,24.0649313341,-1.0,-1.0,-1.0
147.0,39.0,41.0,-1.0,-1.0,1.0,33.0,5010.0,1.0,1.0,60.0,151.818181818,83.5,-1.0,-1.0,8957.464414
148.0,39.0,51.0,-1.0,-1.0,-15.0,197.0,21752.0644531,1.0,0.0,241.0,110.416570828,90.257528851,-1.0,-1.0,-1.0
149.0,39.0,56.0,-1.0,-1.0,1.0,169.0,18398.9179688,1.0,1.0,197.0,108.869337093,93.3955226843,-1.0,-1.0,4304.038685
150.0,40.0,42.0,-1.0,-1.0,1.0,254.0,42828.4257813,1.0,1.0,268.0,168.615849533,159.807558885,-1.0,-1.0,7481.08774
151.0,40.0,44.0,-1.0,-1.0,1.0,53.0,8828.42675781,1.0,1.0,88.0,166.57408977,100.323031339,-1.0,-1.0,12596.84148
152.0,40.0,71.0,-1.0,-1.0,1.0,589.0,52337.9101563,0.0,1.0,675.0,88.8589306559,77.537644676,-1.0,-1.0,7905.496377
153.0,40.0,77.0,-1.0,-1.0,1.0,438.0,47322.5546875,1.0,1.0,511.0,108.0423623,92.6077391145,-1.0,-1.0,6157.487001
154.0,41.0,47.0,-1.0,-1.0,1.0,177.0,21085.2089844,1.0,1.0,224.0,119.125474488,94.1303972518,-1.0,-1.0,6253.381797
155.0,41.0,51.0,-1.0,-1.0,1.0,142.0,16742.0644531,1.0,1.0,181.0,117.901862346,92.4975936635,-1.0,-1.0,8802.392495
156.0,41.0,56.0,-1.0,-1.0,-15.0,232.0,24837.2734375,0.0,1.0,286.0,107.057213093,86.8436134178,-1.0,-1.0,-1.0
157.0,42.0,43.0,-1.0,-1.0,1.0,166.0,18256.7832031,1.0,1.0,196.0,109.980621705,93.146853077,-1.0,-1.0,2754.88113
158.0,42.0,54.0,-1.0,-1.0,1.0,201.0,24398.9179688,1.0,1.0,257.0,121.387651586,94.9374240031,-1.0,-1.0,2431.28151
159.0,42.0,71.0,-1.0,-1.0,1.0,364.0,33695.34375,0.0,1.0,474.0,92.5696256868,71.0872231013,-1.0,-1.0,4049.642711
160.0,42.0,77.0,-1.0,-1.0,1.0,342.0,44020.4101563,1.0,0.0,659.0,128.71464958,66.7988014511,-1.0,-1.0,917.605242
161.0,43.0,45.0,-1.0,-1.0,-15.0,376.0,18932.5488281,1.0,1.0,1112.0,50.352523479,17.0256734066,-1.0,-1.0,-1.0
162.0,43.0,54.0,-1.0,-1.0,1.0,62.0,7010.0,1.0,1.0,80.0,113.064516129,87.625,-1.0,-1.0,3345.990624
163.0,43.0,67.0,-1.0,-1.0,-15.0,245.0,18357.9902344,1.0,1.0,537.0,74.9305723853,34.1862015538,-1.0,-1.0,-1.0
164.0,44.0,47.0,-1.0,-1.0,1.0,268.0,46485.28125,1.0,1.0,304.0,173.452541978,152.912109375,-1.0,-1.0,6196.540058
165.0,44.0,56.0,-1.0,-1.0,1.0,731.0,66006.7578125,0.0,1.0,1445.0,90.2965223153,45.6794171713,-1.0,-1.0,5659.384545
