"parentId","fact","value","factLabel","valueLabel","hab","year","month","NNN","EEE","kausi","year2","route","feeders","f1","f2","fhab","loglengthkm","fkausi","year2st","NNNst","EEEst","fyear"
"JX.1201195","routeLengthBiotopeC",1500,"Route length countryside","1500","A",2021,1,671,337,2,2021,"MNP.19336",0,0,0,NA,0.405465108108164,"2",15.0253451256483,-15.8395803078346,0.432415591724748,"2021"
"JX.1201197","routeLengthBiotopeC",900,"Route length countryside","900","A",2021,1,698,354,2,2021,"MNP.11847",0,0,0,NA,-0.105360515657826,"2",15.0253451256483,11.1604196921654,17.4324155917247,"2021"
"JX.1201228","routeLengthBiotopeC",1300,"Route length countryside","1300","A",2020,12,699,354,2,2021,"MNP.870",6,5,1,"C",0.262364264467491,"2",15.0253451256483,12.1604196921654,17.4324155917247,"2020"
"JX.1201233","routeLengthBiotopeC",2300,"Route length countryside","2300","A",2021,1,664,328,2,2021,"MNP.803",0,0,0,NA,0.832909122935104,"2",15.0253451256483,-22.8395803078346,-8.56758440827525,"2021"
"JX.1201237","routeLengthBiotopeC",50,"Route length countryside","50","A",2020,12,668,338,2,2021,"MNP.3935",0,0,0,NA,-2.99573227355399,"2",15.0253451256483,-18.8395803078346,1.43241559172475,"2020"
"JX.1201247","routeLengthBiotopeC",900,"Route length countryside","900","A",2021,1,699,352,2,2021,"MNP.3834",3,2,1,"C",-0.105360515657826,"2",15.0253451256483,12.1604196921654,15.4324155917247,"2021"
"JX.1201251","routeLengthBiotopeC",1300,"Route length countryside","1300","A",2021,1,741,336,2,2021,"MNP.785",8,7,1,"C",0.262364264467491,"2",15.0253451256483,54.1604196921654,-0.567584408275252,"2021"
"JX.1201252","routeLengthBiotopeC",300,"Route length countryside","300","A",2020,12,668,338,2,2021,"MNP.1216",0,0,0,NA,-1.20397280432594,"2",15.0253451256483,-18.8395803078346,1.43241559172475,"2020"
"JX.1201254","routeLengthBiotopeC",1700,"Route length countryside","1700","A",2021,1,680,333,2,2021,"MNP.3709",2,1,1,"C",0.53062825106217,"2",15.0253451256483,-6.83958030783458,-3.56758440827525,"2021"
"JX.1201255","routeLengthBiotopeC",2400,"Route length countryside","2400","A",2020,12,703,324,2,2021,"MNP.599",7,4,3,"C",0.8754687373539,"2",15.0253451256483,16.1604196921654,-12.5675844082753,"2020"
"JX.1201257","routeLengthBiotopeC",1030,"Route length countryside","1030","A",2021,1,685,340,2,2021,"MNP.10136",8,1,7,"C",0.0295588022415444,"2",15.0253451256483,-1.83958030783458,3.43241559172475,"2021"
"JX.1201260","routeLengthBiotopeC",50,"Route length countryside","50","A",2021,1,666,328,2,2021,"MNP.1246",0,0,0,NA,-2.99573227355399,"2",15.0253451256483,-20.8395803078346,-8.56758440827525,"2021"
"JX.1201268","routeLengthBiotopeC",300,"Route length countryside","300","A",2021,1,666,328,2,2021,"MNP.3953",0,0,0,NA,-1.20397280432594,"2",15.0253451256483,-20.8395803078346,-8.56758440827525,"2021"
